SNO	Date	STG1	STG2	STG3	STG4	STG5	STG6	A1	A2	A3	A4	A5	A6	GP1	GP2	GP3	GP4	GP5	GP6
1	Jan-31	0	0	0	0	0	0	1	0	1	1	1	1	0	0	20	66	100	0
2	Feb-07	0	0	20	66	100	0	1	0	0	0	1	1	0	0	20	66	57	83
3	Feb-14	0	0	20	66	57	83	1	0	1	1	0	0	50	0	100	100	57	83
4	Feb-21	50	0	100	100	57	83	1	0	0	1	0	0	93.75	0	100	78.66666667	57	83
5	Mar-07	93.75	0	100	78.66666667	57	83	1	0	1	0	0	0	79.66666667	0	94.33	78.66666667	57	83
6	Mar-14	79.66666667	0	94.33	78.66666667	57	83	0	0	1	0	0	0	79.66666667	0	80.33333333	78.66666667	57	83
7	Mar-28	79.66666667	1	80.33333333	78.66666667	57	83	0	0	0	0	1	0	79.66666667	0	80.33333333	78.66666667	69.6	83
8	Apr-04	79.66666667	2	80.33333333	78.66666667	69.6	83	1	0	0	0	1	0	100	0	80.33333333	78.66666667	55	83
9	Apr-18	100	3	80.33333333	78.66666667	55	83	1	0	0	0	1	0	100	0	80.33333333	78.66666667	100	83
10	Apr-25	100	0	80.33333333	78.66666667	100	83	0	0	0	0	1	0	100	0	80.33333333	78.66666667	100	83
11	May-02	100	0	80.33333333	78.66666667	100	83	0	0	1	0	1	0	100	0	80	78.66666667	100	83
12	May-09	100	0	80	78.66666667	100	83	0	0	1	0	1	0	100	0	90	78.66666667	80	83
																			
